id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W372019661,,2023-05-30,,DE VERVE ET D'ACIER,DE VERVE ET D'ACIER,005020,000000,1er Étage - Escalier B 21  RUE du Petit Soleil  ,37000,TOURS,,0,A
W372019662,,2023-05-30,,ASSOCIATION DES COMMERÇANTS DU VILLAGE VELPEAU,ACVV,023025,000000,43  RUE des Abeilles  ,37000,Tours,,0,A
W372019663,,2023-05-30,,LES ENTRETIENS DE TOURS,LES ENTRETIENS DE TOURS,002015,000000,19  RUE Danton  ,37000,TOURS,,0,A
W372019664,,2023-05-30,,LUTTECONTRELEHARCÈLEMENT,LUTTECONTRELEHARCÈLEMENT,019035,000000,Etage 3 Porte 7 Immeuble 1  RUE du Plessis  ,37300,JOUÉ-LÈS-TOURS,,0,A
W372019665,,2023-05-30,,LES GROS POUSSINS (HÉLAS),LGPH,005015,000000,60 bis  RUE Jules Charpentier  37000,37000,TOURS,,0,A
W372019666,,2023-05-30,,TURON-RHÔNE,TURON,020015,000000,4  RUE François Clouet  ,37400,AMBOISE,,0,A
W372019667,,2023-05-30,,COBALT ZONE,COBALT ZONE,006030,000000,27 bis  RUE de la Vendée  ,37000,TOURS,,0,A
W372019668,,2023-05-30,,LA COMPAGNIE DES ARTHALISTES,LA COMPAGNIE DES ARTHALISTES,006100,000000,7  RUE Jules Ferry  ,37300,JOUÉ-LÈS-TOURS,,0,A
W372019669,,2023-05-30,,HELYX STUDIO,HELYX,005020,000000,105  RUE de l'Éridence  ,37700,SAINT-PIERRE-DES-CORPS,,0,A
W372019670,,2023-05-30,,LA RICHE DE COEUR,LA RICHE DE C?UR,017125,000000,11  PL Sainte Anne  37520,37520,LA RICHE,,0,A
W372019671,,2023-06-06,,OLA SALSA!,OLA SALSA!,006040,000000,54  AV Gabrielle D'Estrées  ,37270,MONTLOUIS-SUR-LOIRE,,0,A
